TradeYear,Y,Size,Tenure,Distance,RoomNumber,Youseki,Reform
2019,16.588099280204055,35,47,3,1,600,0
2024,16.70588231586044,25,50,4,1,400,1
2024,17.281246460764002,25,20,6,1,400,0
2024,16.811242831518264,15,28,6,1,400,0
2019,16.64872390202049,15,21,6,1,400,0
2024,18.51599092375669,80,21,1,3,500,0
2024,17.182806387950748,20,21,5,1,600,0
2024,18.420680743952367,75,21,5,3,600,0
2024,18.420680743952367,75,21,5,2,600,0
2024,18.03501826314038,40,13,3,1,400,0
2024,17.7473361906886,35,21,3,1,600,1
2024,18.75715298057358,70,4,2,3,500,0
2024,18.197537192638155,50,16,4,2,600,0
2024,18.234351165760874,55,21,1,1,500,0
2024,17.073607095985757,20,21,1,1,600,0
2024,18.172219384653864,40,9,1,1,600,0
2024,18.410630408098864,70,21,1,2,500,0
2024,18.326370064481125,55,9,1,2,600,0
2024,18.951308995014536,80,4,2,3,500,0
2024,18.51599092375669,55,4,2,1,500,0
2024,17.909855120186375,45,12,4,1,500,0
2019,16.951004773893423,20,16,3,1,600,0
2019,16.64872390202049,25,48,4,1,400,1
2019,16.90655301132259,20,17,2,1,600,0
2019,18.246327356807587,85,16,1,2,500,1
2019,16.811242831518264,20,17,3,1,600,0
2019,16.300417207752275,25,48,4,1,400,0
2019,17.909855120186375,70,35,2,3,400,0
2019,17.926384422137584,55,17,1,2,600,0
2019,18.304146927696415,75,0,2,3,500,0
2019,17.7667542765457,40,0,2,1,500,0
2019,17.958645284355807,70,18,6,2,400,1
2019,16.811242831518264,20,16,1,1,600,0
2019,16.860032995687696,20,17,3,1,600,0
2019,16.08763644347361,20,17,3,1,600,0
2019,16.811242831518264,70,35,2,3,400,0
2019,17.341871082580436,40,22,4,2,400,0
2019,16.951004773893423,20,17,2,1,600,0
2019,17.45309671769066,30,23,1,1,600,1
2019,17.7667542765457,40,0,2,1,500,0
2019,18.246327356807587,65,0,2,2,500,0
2019,18.222229805228526,70,0,2,2,500,0
2024,17.80449460452855,35,18,1,1,600,0
2024,18.51599092375669,75,33,7,2,400,1
2024,19.008467408854486,80,25,9,3,600,1
2024,18.02020317735524,55,18,1,2,600,1
2024,17.399029496420383,25,11,1,1,400,1
2024,18.890684373198102,100,31,8,3,400,0
2024,18.683045008419857,70,25,9,2,600,1
2024,17.840862248699423,35,22,1,1,600,1
2024,18.683045008419857,70,24,4,3,400,1
2024,18.222229805228526,55,16,1,2,600,0
2024,18.197537192638155,60,31,8,1,400,0
2024,18.172219384653864,55,13,2,2,600,0
2024,18.258161814454592,60,13,1,3,400,0
2024,17.37085861945369,50,51,3,2,600,1
2024,17.7667542765457,35,33,7,1,400,1
2024,17.909855120186375,50,6,2,2,400,1
2024,18.420680743952367,70,8,3,3,400,0
2024,18.02020317735524,50,20,3,1,400,0
2024,18.234351165760874,55,22,1,1,600,1
2019,17.24949776244942,35,28,7,1,400,0
2019,17.822843743196746,55,13,2,2,700,0
2019,18.064005800013632,70,26,8,2,400,0
2019,18.078190435005588,70,17,1,2,600,0
2019,17.785802471516394,55,26,8,1,400,0
2019,18.03501826314038,65,20,9,2,600,0
2019,17.822843743196746,65,19,4,3,400,0
2019,17.034386382832476,20,13,3,1,400,0
2019,18.337299135013314,95,28,7,2,400,0
2019,17.822843743196746,55,26,9,1,400,0
2019,18.234351165760874,70,20,9,2,600,0
2019,16.454567887579532,25,46,3,1,600,0
2019,18.049617062561534,70,26,9,2,400,0
2019,18.246327356807587,80,26,8,2,400,1
2019,18.51599092375669,100,28,7,3,400,1
2019,17.7473361906886,50,15,3,1,400,0
2019,18.0051652999907,45,15,8,1,800,1
2024,17.111347423968603,20,22,1,1,600,0
2019,17.073607095985757,20,17,4,1,600,0
2019,17.50439001207821,25,15,3,1,700,0
2024,17.073607095985757,20,17,2,1,600,0
2024,18.31532022829454,55,20,2,2,600,1
2024,16.951004773893423,20,21,2,1,600,0
2019,16.99356438831222,25,6,2,1,600,0
2019,18.049617062561534,55,6,1,2,500,0
2019,16.90655301132259,20,17,3,1,600,0
2019,17.98989782785991,50,1,4,1,600,0
2019,17.182806387950748,25,6,2,1,600,0
2019,17.216707939626428,25,15,3,1,600,1
2024,17.034386382832476,20,21,3,1,600,0
2024,17.111347423968603,30,14,3,1,500,0
2024,18.02020317735524,40,12,2,1,500,0
2024,16.523560759066484,25,42,2,1,700,0
2024,16.951004773893423,15,25,4,1,500,1
2024,18.064005800013632,60,19,1,2,700,0
2024,16.90655301132259,25,26,2,1,700,1
2024,17.45309671769066,40,23,2,1,500,1
2024,17.822843743196746,30,2,3,1,700,0
2024,18.420680743952367,65,24,2,2,700,0
2019,18.03501826314038,70,17,3,3,500,0
2019,16.90655301132259,20,21,2,1,700,1
2019,16.811242831518264,25,21,2,1,700,0
2019,16.860032995687696,30,37,3,1,700,1
2019,17.64415195445337,40,8,3,1,600,0
2019,17.840862248699423,50,20,1,2,500,1
2019,16.860032995687696,20,17,3,1,600,0
2019,17.576710673657836,50,20,1,2,700,0
2019,16.951004773893423,20,14,3,1,500,0
2019,16.300417207752275,20,37,3,1,700,0
2019,16.951004773893423,20,14,3,1,500,0
2019,17.686711568872166,50,13,3,2,700,0
2019,16.860032995687696,20,20,4,1,500,0
2019,18.60300230074632,80,4,4,3,500,0
2024,18.420680743952367,55,10,3,2,600,0
2024,17.926384422137584,40,10,3,1,600,0
2019,17.576710673657836,40,4,2,1,600,0
2019,17.622173047734595,40,13,1,2,600,0
2019,17.665658159674333,40,13,1,2,600,0
2024,17.281246460764002,20,22,2,1,600,0
2024,17.216707939626428,20,16,2,1,700,0
2024,17.111347423968603,25,24,2,1,500,0
2019,17.216707939626428,20,17,1,1,600,1
2019,17.64415195445337,35,17,1,1,600,0
2019,17.034386382832476,20,13,2,1,500,0
2019,16.523560759066484,20,36,1,1,500,0
2019,17.14771506813948,20,17,1,1,600,1
2019,16.90655301132259,20,17,1,1,600,0
2019,17.909855120186375,50,6,2,2,700,0
2024,17.958645284355807,50,21,5,1,600,0
2019,17.72753356339242,55,16,5,2,600,0
2019,18.146243898250606,65,6,3,3,600,0
2024,17.24949776244942,25,9,5,1,600,0
2024,18.049617062561534,40,16,1,1,700,0
2024,17.64415195445337,40,18,1,1,700,0
2024,17.926384422137584,50,13,1,2,700,0
2019,16.90655301132259,15,16,1,1,600,0
2019,17.281246460764002,40,13,1,1,700,0
2019,17.50439001207821,40,6,2,1,600,0
2019,16.90655301132259,15,16,1,1,600,0
2024,17.182806387950748,20,22,2,1,600,0
2019,17.034386382832476,20,17,2,1,600,1
2019,17.034386382832476,20,17,2,1,600,0
2019,17.073607095985757,25,17,2,1,700,0
2024,17.4264284706085,30,19,5,1,600,0
2024,17.974393641323946,45,42,4,1,600,1
2019,16.811242831518264,25,37,4,1,600,0
2019,16.99356438831222,20,18,5,1,600,0
2019,16.213405830762646,15,18,6,1,600,0
2019,17.893048001869992,60,14,5,2,600,0
2024,17.50439001207821,40,24,5,1,600,0
2019,17.80449460452855,45,5,6,2,600,0
2019,17.47907220409392,45,19,5,1,600,1
2024,18.358805340234277,55,5,3,2,600,0
2024,17.529082624668582,50,25,6,2,600,0
2019,17.576710673657836,45,20,6,1,600,1
2024,17.64415195445337,45,42,4,1,500,1
2024,17.034386382832476,30,48,4,1,500,0
2024,17.7073308560749,55,41,6,2,700,0
2024,18.51599092375669,70,8,4,3,600,0
2019,17.37085861945369,40,17,4,1,500,1
2019,17.281246460764002,50,39,5,2,500,0
2019,17.858561825798823,60,21,4,3,500,0
2019,17.47907220409392,40,11,5,1,700,0
2019,17.281246460764002,40,21,4,1,500,0
2019,17.37085861945369,40,15,1,1,700,0
2024,18.51599092375669,60,11,2,2,600,0
2024,17.034386382832476,15,23,3,1,500,0
2019,19.06253463012476,95,2,1,3,600,0
2019,16.99356438831222,20,16,3,1,700,0
2019,17.7073308560749,50,18,3,1,600,0
2019,17.958645284355807,70,17,2,3,600,1
2019,17.686711568872166,40,6,3,1,600,1
2019,16.951004773893423,20,20,1,1,700,0
2024,18.75715298057358,70,7,7,3,700,1
2024,16.951004773893423,20,22,1,1,700,0
2024,16.454567887579532,20,41,1,1,700,0
2019,16.38045991542581,20,36,1,2,700,0
2019,16.300417207752275,20,36,1,1,700,0
2019,17.182806387950748,25,8,1,1,700,0
2019,17.182806387950748,25,8,1,1,700,0
2024,17.073607095985757,25,25,4,1,500,1
2024,17.034386382832476,20,22,3,1,500,0
2024,18.51599092375669,65,10,2,3,500,0
2024,16.99356438831222,20,22,3,1,500,0
2024,16.454567887579532,20,20,3,1,500,0
2024,17.840862248699423,40,21,2,1,500,1
2024,16.99356438831222,20,21,2,1,500,1
2024,17.858561825798823,50,25,7,1,700,1
2024,17.111347423968603,20,20,3,1,500,1
2024,17.822843743196746,40,6,3,1,500,0
2019,18.105969999112666,65,5,2,2,500,0
2019,16.38045991542581,25,38,1,1,700,0
2019,16.64872390202049,40,37,2,2,700,0
2019,16.38045991542581,20,38,1,1,700,0
2019,16.951004773893423,20,18,3,1,500,0
2019,17.47907220409392,40,7,2,1,700,0
2019,16.90655301132259,20,18,3,1,500,1
2019,17.111347423968603,25,6,3,1,500,0
2019,16.951004773893423,20,18,3,1,500,0
2024,18.890684373198102,100,8,6,3,700,0
2024,17.341871082580436,30,25,8,1,500,0
2024,17.14771506813948,20,20,4,1,500,0
2019,17.14771506813948,20,15,4,1,500,0
2019,17.4264284706085,40,9,3,1,500,1
2019,16.99356438831222,20,14,6,1,500,0
2019,16.99356438831222,20,15,4,1,500,0
2019,18.064005800013632,80,14,4,3,500,0
2019,17.182806387950748,20,15,4,1,500,0
2019,18.105969999112666,80,21,5,2,500,1
2019,17.073607095985757,20,15,4,1,500,0
2019,18.0051652999907,55,8,5,2,500,1
2024,18.234351165760874,55,13,3,2,500,1
2024,17.24949776244942,45,50,2,2,700,0
2024,17.073607095985757,20,20,3,1,500,0
2024,17.785802471516394,40,14,3,1,700,0
2024,17.576710673657836,35,22,3,1,700,0
2024,18.420680743952367,50,4,1,2,500,0
2024,17.034386382832476,20,22,2,1,500,0
2024,17.822843743196746,40,8,4,1,500,0
2024,17.958645284355807,35,13,3,1,700,0
2024,16.11809565095832,30,26,3,1,700,0
2024,16.951004773893423,25,26,3,1,700,0
2024,18.132998671500584,60,25,1,2,500,0
2024,18.304146927696415,60,25,1,2,500,0
2024,18.132998671500584,55,13,3,2,700,0
2024,17.37085861945369,25,10,5,1,500,0
2024,17.785802471516394,40,19,2,1,700,0
2024,17.785802471516394,40,11,4,1,700,0
2024,17.341871082580436,25,10,5,1,500,0
2024,16.951004773893423,20,18,5,1,500,0
